Tracks	Mother-Daughter Distance	Daughter-Daugther Distance
0	26.3251957257682	
0	115.095552398865	108.726822146147
1	47.3674214096567	
1	58.4437993631488	82.2915379550048
3	92.5389122801863	
3	74.123495505811	142.60701214176
4	62.7099398022354	
4	75.0132942217577	129.308047305649
5	23.7589043728872	
5	42.1317124028919	48.7812418353613
6	42.5676650757357	
6	50.5379891269924	61.5620788554124
7	116.69416590387	
7	82.451494085917	94.6536121286453
8	93.404623215342	
8	117.61819034061	38.890859350238
9	114.689786458952	
9	39.8190963483603	115.384538834282
10	50.1294934444784	
10	240.243938758088	233.53286594182
11	79.1083720664255	
11	33.3419614000137	50.9853262910027
12	62.9583058936627	
12	48.0075837654844	81.3366497097096
13	149.935248037278	
13	79.4370877487336	99.8632638861759
14	89.5912399344936	
14	43.81427019819	62.6035803928178
15	98.9215927540594	
15	40.8259255008384	124.665581833961
16	94.3794817955683	
16	114.297692492018	73.0497295888219
17	93.0800221153821	
17	62.2905819767323	112.380640174365
18	58.1165546208649	
18	81.862855374095	100.007715107386
19	103.322085731948	
19	96.0211903383831	64.9367804406717
20	89.119001722416	
20	127.531479023808	43.127201972769
21	131.601227805822	
21	74.2101860663347	134.023424862969
22	147.918376850207	
22	80.9965420558187	102.445892357869
23	98.5314886419565	
23	78.755193073219	141.775822036058
24	57.2135926681764	
24	65.0974739141235	67.7631886056138
25	129.907575964606	
25	38.9551863299356	93.3338201243257
26	64.5939102857228	
26	52.2772568714158	88.1774242649444
27	27.3226452233308	
27	77.9669059024404	56.5595547188978
28	39.3327801458276	
28	113.227146572719	102.945703140053
29	31.5895291829428	
29	61.365106379766	73.9518981838871
