Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)	Region
0	95.390	284.809	299.625	10.000	97	124.984	291.802	315.508	10.000	148	38.3618898126774	9.87718328981407	201.862745098039	EM
1	91.722	210.137	189.278	10.000	43	82.409	226.790	172.890	10.000	148	25.1519566236903	4.99137038139741	170.07619047619	EM
2	175.608	301.442	108.530	10.000	0	283.435	341.303	105.610	10.000	148	114.996033192454	11.3312808304355	149.486486486486	EM
3	117.335	239.176	310.681	10.000	51	149.021	262.715	322.228	10.000	148	41.1268808202129	7.16084428392836	245.154639175258	EM
4	108.160	294.413	141.055	10.000	32	145.272	323.441	106.554	10.000	148	61.8938467216249	10.8107320720303	186.603448275862	EM
5	114.620	294.373	147.696	10.000	32	186.986	342.130	85.440	10.000	148	106.739770193682	10.5907288261876	176.413793103448	EM
6	225.128	197.482	115.315	10.000	24	244.804	203.797	83.282	10.000	148	38.1200379065919	4.04124840563498	189.024193548387	EM
7	122.062	306.014	133.209	10.000	58	155.320	301.716	97.223	10.000	148	49.6200260378811	7.64265019148654	217.955555555556	EM
8	66.011	279.192	234.367	10.000	32	141.316	310.530	312.285	10.000	148	112.801276557493	14.1595751066486	186.362068965517	EM
9	62.285	285.651	239.738	10.000	32	132.273	319.882	286.508	10.000	148	98.8590445735746	13.7603829279494	180.568965517241	EM
10	98.440	315.576	301.343	10.000	89	105.310	298.674	296.315	10.000	148	19.1218594807095	6.83093756111751	164.220338983051	EM
11	61.863	191.515	206.599	10.000	62	62.820	199.686	224.411	10.000	148	19.6201028029927	4.60804564644245	148.127906976744	EM
12	82.075	220.463	224.961	10.000	47	87.419	219.195	261.787	10.000	148	42.4579044701926	5.91380104596304	195.90099009901	EM
13	101.412	217.118	216.852	10.000	47	84.139	226.413	246.017	10.000	148	35.1475572266409	6.04354627800465	199.465346534653	EM
14	94.540	223.502	214.640	10.000	47	82.763	227.066	246.414	10.000	148	34.0732578571524	6.03428030492281	197.782178217822	EM
15	74.597	232.012	210.087	10.000	47	89.862	242.241	237.288	10.000	148	32.8260120483741	5.24251141924949	187.722772277228	EM
16	91.344	223.566	196.705	10.000	47	81.570	233.231	189.547	10.000	148	15.4977503206111	4.88524835974064	188.366336633663	EM
17	99.048	226.530	198.530	10.000	47	92.966	234.121	184.931	10.000	148	16.7196532858789	5.25730464861415	198.287128712871	EM
18	149.236	172.793	246.933	10.000	10	97.148	164.072	277.168	10.000	148	60.8553268826978	5.16530594456746	163.608695652174	EM
19	108.069	208.802	187.914	10.000	32	79.018	210.617	169.967	10.000	148	39.0072124869235	6.19634296508707	163.793103448276	EM
20	104.983	294.208	302.769	10.000	108	116.375	290.802	301.021	10.000	148	14.313477355276	5.06025071597729	183.725	EM
21	97.235	308.376	118.619	10.000	62	137.131	294.820	100.624	10.000	148	48.8152104778828	8.06058602381884	195.802325581395	EM
22	122.956	301.482	321.741	10.000	74	200.613	326.264	328.125	10.000	148	86.0022196283328	12.8705917848943	218.837837837838	EM
23	280.689	273.712	244.939	10.000	0	324.673	246.267	228.872	10.000	148	54.2798464533569	6.09122921390795	93.6891891891892	EM
24	124.131	361.375	239.514	10.000	74	162.829	346.700	289.088	10.000	148	64.5791940566	11.6782612875955	171.567567567568	EM
25	94.787	227.191	216.860	10.000	50	83.910	237.850	247.016	10.000	148	33.78324652842	6.16489997872767	202.826530612245	EM
26	95.005	270.766	274.126	10.000	36	134.101	312.104	305.673	10.000	148	65.0579792877092	11.1077015131188	206.196428571429	EM
27	113.603	222.500	234.779	10.000	10	112.356	243.327	295.131	10.000	148	63.8567368568109	6.64804457972208	221.746376811594	EM
28	115.315	272.661	271.239	10.000	25	168.393	280.077	337.318	10.000	148	85.0805816917115	9.74493121100367	241.268292682927	EM
29	116.090	278.818	265.763	10.000	25	178.218	306.198	331.604	10.000	148	94.575842925136	10.5553575749295	238.959349593496	EM
30	115.982	278.492	266.277	10.000	25	170.388	303.564	322.299	10.000	148	85.2243710859752	10.5837722208622	242.780487804878	EM
31	122.116	273.780	264.669	10.000	25	173.449	277.892	330.860	10.000	148	83.8643780994053	9.87160081704888	252.813008130081	EM
32	111.069	262.029	264.902	10.000	25	151.614	299.481	313.725	10.000	148	73.6901259192845	10.4903020568909	233.024390243902	EM
