Images,Stage,Region,Rtotal,m,b,Ch1 thresh,Ch2 thresh,Rcoloc,R<threshold,M1,M2,tM1,tM2,Ncoloc,%Volume,%Ch1 Vol,%Ch2 Vol,%Ch1 Int,%Ch2 Int,%Ch1 Int > thresh,%Ch2 Int >thresh
C1-Image429281 & C2-Image429281,Som,mes1,0.033,0.023,117,399,126,0.0485,-0.003,1,1,0.358,0.043,4603,0.09%,37.78%,4.40%,3.30%,2.24%,38.18%,4.43%
C1-Image429281 & C3-Image429281,Som,mes1,0.231,0.024,25.8,225,31,-0.0642,-0.004,1,1,0.5336,0.5351,76986,1.52%,51.88%,54.62%,36.39%,33.60%,52.03%,55.41%
C1-Image429281 & C4-Image429281,Som,mes1,0.426,0.666,23.5,114,99,0.0262,-0.011,1,1,0.8718,0.8916,205720,4.06%,88.54%,91.81%,84.83%,84.90%,90.61%,94.06%
C2-Image429281 & C3-Image429281,Som,mes1,0.421,0.087,20.4,71,27,0.4233,-0.011,1,1,0.6986,0.9403,173415,3.42%,64.12%,90.29%,64.90%,70.41%,67.48%,92.16%
C2-Image429281 & C4-Image429281,Som,mes1,0.25,4.276,-353.6,24,-251,0.2497,0.012,1,1,1,1,294134,5.81%,99.99%,99.98%,100.00%,100.00%,100.00%,100.00%
C3-Image429281 & C4-Image429281,Som,mes1,0.48,16.732,-350.7,29,135,0.3317,-0.014,1,1,0.6611,0.67,116933,2.31%,70.35%,65.96%,49.94%,55.77%,72.70%,70.40%
C1-Image429281 & C2-Image429281,Som,mes2,-0.004,-0.003,138.7,784,136,NaN,-0.004,1,1,0.4071,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C1-Image429281 & C3-Image429281,Som,mes2,0.207,0.023,28,235,33,-0.0727,0.004,1,1,0.5301,0.5002,40504,0.80%,50.74%,50.50%,33.77%,30.88%,50.73%,50.88%
C1-Image429281 & C4-Image429281,Som,mes2,0.438,0.833,7.5,112,101,0.0158,-0.007,1,1,0.8983,0.9043,122204,2.41%,91.29%,92.34%,87.71%,87.43%,92.95%,94.78%
C2-Image429281 & C3-Image429281,Som,mes2,0.42,0.081,21.8,159,35,0.5713,-0.007,1,1,0.4573,0.2995,22332,0.44%,50.97%,32.99%,22.37%,19.27%,54.69%,36.20%
C2-Image429281 & C4-Image429281,Som,mes2,0.151,6.4,-693.1,157,312,0.0531,0.029,1,1,0.1388,0.2988,8135,0.16%,17.84%,40.74%,7.63%,9.68%,18.11%,41.12%
C3-Image429281 & C4-Image429281,Som,mes2,0.468,17.756,-396,32,172,0.2735,0.005,1,1,0.5984,0.6279,57696,1.14%,66.42%,64.35%,44.40%,50.54%,68.86%,68.40%
C1-Image429281 & C3-Image429281,Som,mes3,0.164,0.018,28.9,266,34,-0.0761,0.001,1,1,0.4501,0.3788,24288,0.48%,41.98%,37.34%,22.80%,20.15%,42.20%,37.19%
C1-Image429281 & C4-Image429281,Som,mes3,0.35,0.709,21.6,126,111,-0.0234,0.003,1,1,0.8618,0.8952,111165,2.19%,87.77%,91.69%,83.61%,84.59%,89.15%,93.97%
C2-Image429281 & C3-Image429281,Som,mes3,0.527,0.106,19.5,126,33,0.522,0.005,1,1,0.5277,0.441,35131,0.69%,58.38%,49.33%,34.00%,30.90%,63.41%,53.18%
C2-Image429281 & C4-Image429281,Som,mes3,0.307,3.476,-260.9,31,-153,0.3063,0.014,1,1,1,0.9999,157097,3.10%,99.99%,99.97%,99.99%,99.99%,100.00%,99.99%
C3-Image429281 & C4-Image429281,Som,mes3,0.519,15.671,-333.1,30,137,0.3406,-0.039,1,1,0.7082,0.6857,66968,1.32%,73.66%,65.60%,53.54%,58.49%,76.68%,71.46%
C1-Image142398 & C3-Image142398,Som,mes1,0.049,0.005,33.9,348,36,-0.1126,0.005,1,1,0.4474,0.1118,10273,0.20%,33.07%,9.14%,8.45%,4.92%,31.23%,8.58%
C1-Image142398 & C4-Image142398,Som,mes1,0.439,1.449,-31.3,98,111,-0.0389,0.004,1,1,0.9199,0.8795,177619,3.51%,94.62%,87.81%,89.04%,86.73%,96.16%,92.40%
C2-Image142398 & C3-Image142398,Som,mes1,0.538,0.083,22.9,107,32,0.4855,-0.002,1,1,0.681,0.6514,101660,2.01%,66.32%,68.67%,56.68%,50.27%,72.48%,71.74%
C2-Image142398 & C4-Image142398,Som,mes1,0.078,13.625,-1745.8,25,-1405,0.0764,0.004,1,1,1,0.9999,263646,5.20%,99.97%,99.91%,99.99%,99.99%,100.00%,99.99%
C3-Image142398 & C4-Image142398,Som,mes1,0.254,42.939,-1245.9,10,-816,0.2515,-0.001,1,1,1,0.9999,263532,5.20%,99.92%,99.87%,99.97%,99.97%,99.98%,99.97%
C1-Image142398 & C3-Image142398,Som,mes2,0.039,0.005,34,385,36,-0.032,0.005,1,1,0.4272,0.0574,3185,0.06%,30.88%,4.51%,4.21%,2.51%,29.12%,4.43%
C1-Image142398 & C4-Image142398,Som,mes2,0.294,1.756,-121.2,96,47,0.0304,-0.008,1,1,0.9907,0.8899,133514,2.64%,99.11%,80.70%,93.92%,88.78%,99.25%,89.13%
C2-Image142398 & C3-Image142398,Som,mes2,0.636,0.087,19.9,95,28,0.5445,-0.007,1,1,0.7966,0.8434,98787,1.95%,74.82%,85.35%,73.84%,71.10%,81.29%,88.40%
C2-Image142398 & C4-Image142398,Som,mes2,0.134,4.173,-485,200,350,-0.0282,-0.004,1,1,0.2435,0.3176,12104,0.24%,23.81%,31.88%,12.87%,12.80%,24.54%,31.36%
C3-Image142398 & C4-Image142398,Som,mes2,0.293,32.215,-890.5,9,-601,0.2926,0.022,1,1,1,0.9999,169404,3.34%,99.97%,99.95%,99.99%,99.98%,99.99%,99.98%
C1-Image142398 & C4-Image142398,Som,mes3,0.328,1.483,-37.2,116,135,-0.1322,-0.002,1,1,0.9152,0.8655,131351,2.59%,94.36%,87.03%,88.02%,84.96%,95.12%,90.79%
C2-Image142398 & C3-Image142398,Som,mes3,0.537,0.084,23.7,135,35,0.505,0.005,1,1,0.6065,0.4721,48467,0.96%,62.17%,50.62%,42.66%,34.81%,68.17%,54.78%
C3-Image142398 & C4-Image142398,Som,mes3,0.175,65.228,-2065.2,16,-1022,0.1554,0.069,1,1,1,0.9949,187402,3.70%,99.37%,98.31%,99.33%,99.16%,99.73%,99.16%
C1-Image196255 & C3-Image196255,Som,mes1,-0.006,-0.001,30.1,750,30,NaN,-0.006,1,1,0.4662,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C1-Image196255 & C4-Image196255,Som,mes1,0.484,2.128,-81,113,159,0.0879,0.11,1,1,0.9209,0.8424,195466,3.86%,94.54%,85.99%,87.55%,82.47%,95.64%,88.52%
C2-Image196255 & C3-Image196255,Som,mes1,0.498,0.143,17.2,85,29,0.3642,0.005,1,1,0.5825,0.5149,80834,1.60%,63.90%,56.66%,40.98%,38.51%,67.44%,60.78%
C3-Image196255 & C4-Image196255,Som,mes1,0.026,517.157,-15212.7,255,116662,NaN,0.026,1,1,0,0,0,0.00%,NaN%,NaN%,0.00%,0.00%,NaN%,NaN%
C1-Image196255 & C3-Image196255,Som,mes2,0,0,37,718,37,NaN,0,1,1,0.4292,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C1-Image196255 & C4-Image196255,Som,mes2,0.562,2.058,-66.7,13,-40,0.5618,0.001,1,1,1,1,228407,4.51%,99.99%,99.99%,100.00%,100.00%,100.00%,100.00%
C2-Image196255 & C3-Image196255,Som,mes2,0.642,0.073,23.4,138,34,0.5165,0.001,1,1,0.6792,0.5878,77119,1.52%,67.77%,64.41%,56.73%,46.55%,75.74%,69.86%
C2-Image196255 & C4-Image196255,Som,mes2,0.014,24.647,-4245.7,43,-3186,0.0118,0.006,1,1,1,0.9928,226289,4.47%,99.87%,99.06%,99.81%,99.16%,99.97%,99.16%
C3-Image196255 & C4-Image196255,Som,mes2,0.074,140.119,-4870.4,11,-3329,0.0734,-0.013,1,1,1,0.9999,228329,4.51%,99.97%,99.95%,99.99%,99.97%,99.99%,99.97%
C1-Image196255 & C4-Image196255,Som,mes3,0.563,3.091,-169.9,107,161,0.1184,0.18,1,1,0.9387,0.8888,133431,2.63%,96.91%,85.99%,89.38%,88.07%,97.84%,92.51%
C2-Image196255 & C3-Image196255,Som,mes3,0.6,0.068,21.1,162,32,0.4597,0.007,1,1,0.6754,0.6348,71570,1.41%,68.75%,69.52%,56.36%,49.98%,74.68%,73.62%
C1-Image682638 & C3-Image682638,EHF,mes1,0.047,0.002,18.5,470,20,-0.0169,0.005,1,1,0.4267,0.0418,6970,0.14%,36.78%,3.70%,3.66%,2.01%,36.82%,3.76%
C1-Image682638 & C4-Image682638,EHF,mes1,0.302,0.823,-13.9,251,193,-0.0419,0.015,1,1,0.431,0.5132,96349,1.90%,49.44%,60.05%,31.46%,38.20%,49.78%,61.85%
C2-Image682638 & C3-Image682638,EHF,mes1,0.148,0.02,16.5,169,20,0.0353,0.011,1,1,0.4351,0.1498,26843,0.53%,41.60%,14.25%,9.83%,7.99%,42.15%,14.94%
C2-Image682638 & C4-Image682638,EHF,mes1,0.015,152.414,-18722.3,564,67239,NaN,0.015,1,1,0,0,0,0.00%,0.00%,NaN%,0.00%,0.00%,0.00%,NaN%
C3-Image682638 & C4-Image682638,EHF,mes1,0.368,53.056,-831.1,19,177,0.0428,0,1,1,0.4368,0.5984,105459,2.08%,47.37%,60.22%,30.64%,40.31%,50.25%,61.92%
C1-Image682638 & C3-Image682638,EHF,mes2,0.05,0.002,19.4,443,20,-0.0231,0,1,1,0.5462,0.0579,5200,0.10%,47.66%,5.16%,6.03%,3.37%,47.44%,5.26%
C1-Image682638 & C4-Image682638,EHF,mes2,0.408,1.025,-2.1,150,152,0.0246,0.003,1,1,0.807,0.8613,118491,2.34%,83.40%,88.27%,77.19%,80.01%,84.21%,91.74%
C2-Image682638 & C3-Image682638,EHF,mes2,0.086,0.013,18.4,189,21,0.0337,0.005,1,1,0.4805,0.075,5763,0.11%,42.18%,6.46%,5.35%,3.98%,42.45%,6.83%
C3-Image682638 & C4-Image682638,EHF,mes2,0.258,82.815,-1413.3,18,77,0.1166,0.002,1,1,0.9596,0.7347,113632,2.24%,88.28%,63.30%,70.25%,66.76%,90.66%,67.57%
