Stage,Label,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,IntDen,Median,RawIntDen,Ch
Som,Image429281:mes1_1:1,2188.483,217.04,105.516,14,710,77.605,56.856,78.171,56.386,474988.239,226,63850541,1
Som,Image429281:mes1_2:2,2188.483,122.668,54.358,16,839,77.605,56.856,73.91,55.257,268456.667,111,36087427,2
Som,Image429281:mes1_3:3,2188.483,31.446,10.872,5,241,77.605,56.856,76.432,56.279,68818.19,30,9250921,3
Som,Image429281:mes1_4:4,2188.483,168.047,88.383,13,686,77.605,56.856,76.005,56.478,367767.757,156,49437372,4
Som,Image429281:mes2_1:1,1246.601,219.771,106.895,11,784,50.674,41.877,50.91,41.557,273967.116,229,36828172,1
Som,Image429281:mes2_2:2,1246.601,138.934,62.489,16,839,50.674,41.877,52.482,43.771,173195.811,125,23281937,2
Som,Image429281:mes2_3:3,1246.601,33.53,11.727,7,241,50.674,41.877,52.808,43.585,41798.135,32,5618736,3
Som,Image429281:mes2_4:4,1246.601,190.145,98.655,14,686,50.674,41.877,54.093,44.69,237035.222,180,31863583,4
Som,Image429281:mes3_1:1,1169.019,229.906,107.066,17,710,90.266,65.962,89.905,65.203,268764.547,235,36128814,1
Som,Image429281:mes3_2:2,1169.019,128.44,59.136,19,839,90.266,65.962,86.155,64.587,150148.722,114,20183820,2
Som,Image429281:mes3_3:3,1169.019,33.072,11.515,5,241,90.266,65.962,87.134,64.728,38661.58,31,5197103,3
Som,Image429281:mes3_4:4,1169.019,184.611,94.757,17,686,90.266,65.962,84.531,63.63,215814.095,167,29010922,4
Som,Image196255:mes1_1:1,2117.544,180.175,101.686,9,750,78.746,140.626,81.19,141.605,381527.882,183,51287084,1
Som,Image196255:mes1_2:2,2117.544,89.851,40.701,14,503,78.746,140.626,76.854,139.063,190263.471,80,25576266,2
Som,Image196255:mes1_3:3,2117.544,30.502,11.1,6,177,78.746,140.626,77.225,140.313,64588.48,29,8682340,3
Som,Image196255:mes1_4:4,2117.544,302.558,150.318,11,980,78.746,140.626,78.125,141.414,640679.902,299,86123729,4
Som,Image196255:mes2_1:1,1699.38,185.359,105.11,9,718,94.37,108.174,95.32,106.647,314995.159,190,42343388,1
Som,Image196255:mes2_2:2,1699.38,185.239,135.944,20,1448,94.37,108.174,98.006,99.367,314790.845,137,42315923,2
Som,Image196255:mes2_3:3,1699.38,37.489,15.409,8,210,94.37,108.174,95.602,106.01,63707.888,34,8563966,3
Som,Image196255:mes2_4:4,1699.38,314.36,161.332,20,1099,94.37,108.174,95.128,105.49,534216.256,309,71812298,4
Som,Image196255:mes3_1:1,1391.12,187.173,104.807,15,841,110.846,47.664,110.64,48.643,260380.484,187,35001782,1
Som,Image196255:mes3_2:2,1391.12,204.807,117.282,25,1137,110.846,47.664,107.36,51.448,284910.603,175,38299256,2
