Images,Stage,Region,Rtotal,m,b,Ch1 thresh,Ch2 thresh,Rcoloc,R<threshold,M1,M2,tM1,tM2,Ncoloc,%Volume,%Ch1 Vol,%Ch2 Vol,%Ch1 Int,%Ch2 Int,%Ch1 Int > thresh,%Ch2 Int >thresh
C1-Image361014 & C2-Image361014,EHF,ect1,0.142,680.497,-8277.5,6,-4194,0.1371,0.058,1,1,1,0.9994,257829,5.09%,99.76%,99.63%,99.85%,99.81%,99.90%,99.81%
C1-Image361014 & C3-Image361014,EHF,ect1,0.187,72.412,-836.4,6,-402,0.1817,0.024,1,1,1,0.9993,257829,5.09%,99.76%,99.63%,99.85%,99.79%,99.90%,99.79%
C1-Image361014 & C4-Image361014,EHF,ect1,0.232,217.863,-2411.2,6,-1104,0.2273,-0.006,1,1,1,0.9993,257829,5.09%,99.76%,99.63%,99.85%,99.78%,99.90%,99.78%
C2-Image361014 & C3-Image361014,EHF,ect1,0.739,0.104,45.9,277,75,0.613,0.268,1,1,0.8616,0.8821,170452,3.36%,84.20%,92.43%,83.78%,80.97%,90.02%,94.36%
C2-Image361014 & C4-Image361014,EHF,ect1,0.175,0.124,350.2,656,432,-0.0858,0.007,1,1,0.4757,0.3575,42576,0.84%,49.30%,37.70%,27.80%,22.66%,48.58%,36.78%
C3-Image361014 & C4-Image361014,EHF,ect1,0.305,11.529,-789.5,12,-651,0.3047,0.012,1,1,1,1,258729,5.11%,99.99%,99.98%,100.00%,100.00%,100.00%,100.00%
C1-Image361014 & C2-Image361014,EHF,ect2,0.064,1101.31,-16116.6,7,-8407,0.0557,-0.005,1,1,1,0.9985,201829,3.98%,98.96%,98.71%,99.42%,99.09%,99.52%,99.09%
C1-Image361014 & C3-Image361014,EHF,ect2,0.114,91.856,-1290.8,6,-740,0.1109,0.001,1,1,1,0.9995,203950,4.03%,99.83%,99.75%,99.91%,99.84%,99.93%,99.84%
C1-Image361014 & C4-Image361014,EHF,ect2,0.217,180.256,-2354.8,7,-1093,0.2014,-0.001,1,1,1,0.9987,201829,3.98%,98.96%,98.71%,99.42%,99.24%,99.52%,99.24%
C2-Image361014 & C3-Image361014,EHF,ect2,0.714,0.108,43.4,210,66,0.5655,0.222,1,1,0.8116,0.838,115682,2.28%,79.01%,89.61%,78.06%,74.71%,86.19%,92.40%
C2-Image361014 & C4-Image361014,EHF,ect2,0.313,0.236,253.8,280,320,-0.0176,0.038,1,1,0.6548,0.6725,82979,1.64%,69.97%,74.02%,58.01%,55.06%,70.44%,74.98%
C3-Image361014 & C4-Image361014,EHF,ect2,0.451,7.726,-323.2,18,-184,0.4472,0.076,1,1,1,0.9996,203943,4.03%,99.91%,99.75%,99.95%,99.94%,99.98%,99.94%
C1-Image361014 & C2-Image361014,EHF,ect3,0.103,1037.277,-12902.6,5,-7716,0.1013,-0.008,1,1,1,1,200526,3.96%,99.89%,99.89%,99.96%,99.94%,99.96%,99.94%
C1-Image361014 & C3-Image361014,EHF,ect3,0.146,99.81,-1191.5,6,-593,0.1415,0.061,1,1,1,0.9994,200053,3.95%,99.76%,99.66%,99.86%,99.78%,99.90%,99.78%
C1-Image361014 & C4-Image361014,EHF,ect3,0.218,239.354,-2683.6,6,-1247,0.2142,0.041,1,1,1,0.9993,200053,3.95%,99.76%,99.66%,99.86%,99.77%,99.90%,99.77%
C2-Image361014 & C3-Image361014,EHF,ect3,0.769,0.105,45.1,234,70,0.6796,0.271,1,1,0.8934,0.9193,143342,2.83%,85.50%,94.83%,87.82%,85.47%,91.98%,96.43%
C2-Image361014 & C4-Image361014,EHF,ect3,0.115,0.074,385,832,446,-0.0871,0.008,1,1,0.4345,0.2197,18165,0.36%,42.53%,21.89%,17.49%,12.39%,40.92%,20.99%
C3-Image361014 & C4-Image361014,EHF,ect3,0.249,13.552,-1008.5,14,-819,0.2479,-0.009,1,1,1,1,200658,3.96%,99.98%,99.96%,99.99%,99.99%,100.00%,99.99%
C1-Image361014 & C2-Image361014,EHF,end1,0.231,560.589,-8209.4,8,-3725,0.221,0.037,1,1,1,0.9983,64290,1.27%,99.24%,98.85%,99.46%,99.46%,99.63%,99.46%
