Stage,Label,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,IntDen,Median,RawIntDen,Ch
EHF,Image480815:ect1_1:1,842.63,15.382,4.134,3,53,107.666,13.268,107.108,12.906,12961.661,15,1742378,1
EHF,Image480815:ect1_2:2,842.63,409.352,236.237,23,2045,107.666,13.268,109.109,12.374,344932.629,358,46367748,2
EHF,Image480815:ect1_3:3,842.63,101.345,41.781,10,382,107.666,13.268,108.333,12.949,85396.694,97,11479495,3
EHF,Image480815:ect1_4:4,842.63,387.743,146.675,19,1169,107.666,13.268,108.069,13.073,326724.204,379,43920071,4
EHF,Image480815:ect2_1:1,1960.439,14.046,3.769,3,57,108.484,131.605,107.982,132.706,27536.245,14,3701574,1
EHF,Image480815:ect2_2:2,1960.439,578.438,375.321,19,4673,108.484,131.605,109.648,131.152,1133991.611,501,152437412,2
EHF,Image480815:ect2_3:3,1960.439,106.819,51.341,9,1134,108.484,131.605,108.677,132.184,209411.732,100,28150281,3
EHF,Image480815:ect2_4:4,1960.439,431.226,188.963,28,1719,108.484,131.605,107.977,131.452,845392.303,407,113642300,4
EHF,Image480815:ect3_1:1,1156.38,14.174,3.799,3,57,108.438,130.632,108.178,131.239,16390.296,14,2203274,1
EHF,Image480815:ect3_2:2,1156.38,620.291,378.9,19,4148,108.438,130.632,110.248,128.874,717292.572,552,96422427,2
EHF,Image480815:ect3_3:3,1156.38,113.119,50.727,9,536,108.438,130.632,108.881,130.649,130808.964,107,17584063,3
EHF,Image480815:ect3_4:4,1156.38,438.383,186.596,18,1719,108.438,130.632,107.886,130.434,506937.604,417,68145351,4
EHF,Image480815:end1_1:1,609.274,14.973,4.096,5,44,181.919,66.133,181.011,67.477,9122.687,14,1226322,1
EHF,Image480815:end1_2:2,609.274,592.854,438.391,15,3716,181.919,66.133,180.786,67.614,361210.565,523,48555918,2
EHF,Image480815:end1_3:3,609.274,103.803,51.473,10,404,181.919,66.133,180.37,68.924,63244.308,98,8501649,3
EHF,Image480815:end1_4:4,609.274,342.731,118.977,26,990,181.919,66.133,182.374,65.792,208817.158,344,28070355,4
EHF,Image480815:end2_1:1,387.91,16.428,4.372,4,58,145.331,148.418,145.472,147.587,6372.763,16,856662,1
EHF,Image480815:end2_2:2,387.91,821.259,571.189,24,3764,145.331,148.418,144.961,147.824,318574.658,676,42824564,2
EHF,Image480815:end2_3:3,387.91,166.042,79.446,14,684,145.331,148.418,144.472,149.309,64409.496,155,8658280,3
EHF,Image480815:end2_4:4,387.91,387.907,126.552,32,1054,145.331,148.418,145.252,148.44,150472.946,382,20227404,4
EHF,Image480815:end3_1:1,212.207,16.784,4.317,5,53,158.655,117.235,158.53,117.169,3561.764,16,478792,1
EHF,Image480815:end3_2:2,212.207,719.901,477.194,50,3446,158.655,117.235,157.963,118.304,152767.838,597,20535896,2
EHF,Image480815:end3_3:3,212.207,138.636,59.746,22,438,158.655,117.235,158.203,117.791,29419.458,129,3954726,3
EHF,Image480815:end3_4:4,212.207,343.196,113.396,66,1049,158.655,117.235,158.218,118.052,72828.545,336,9790015,4
EHF,Image480815:mes1_1:1,1980.041,25.107,8.068,5,92,129.776,141.741,131.519,140.014,49712.421,24,6682618,1
EHF,Image480815:mes1_2:2,1980.041,332.911,169.617,35,1967,129.776,141.741,129.385,140.74,659178.034,293,88610350,2
EHF,Image480815:mes1_3:3,1980.041,78.202,27.946,14,673,129.776,141.741,130.076,141.807,154844.043,74,20814991,3
EHF,Image480815:mes1_4:4,1980.041,384.607,160.366,37,1863,129.776,141.741,129.122,140.766,761537.393,361,102370060,4
EHF,Image480815:mes2_1:1,2211.537,25.691,10.725,3,87,157.595,70.899,159.015,71.201,56815.64,24,7637472,1
EHF,Image480815:mes2_2:2,2211.537,365.526,219.779,15,2102,157.595,70.899,159.774,71.289,808374.422,312,108666152,2
EHF,Image480815:mes2_3:3,2211.537,80.046,32.352,6,459,157.595,70.899,159.737,70.924,177024.578,77,23796621,3
EHF,Image480815:mes2_4:4,2211.537,394.556,160.671,17,1863,157.595,70.899,156.765,72.346,872575.431,375,117296406,4
EHF,Image480815:mes3_1:1,2336.104,28.409,9.512,6,92,140.094,122.209,142.206,117.736,66367.346,27,8921465,1
EHF,Image480815:mes3_2:2,2336.104,328.56,173.239,26,1967,140.094,122.209,139.844,121.59,767550.894,286,103178428,2
EHF,Image480815:mes3_3:3,2336.104,81.679,28.931,10,673,140.094,122.209,140.631,121.135,190810.331,77,25649778,3
EHF,Image480815:mes3_4:4,2336.104,371.928,140.055,28,1529,140.094,122.209,139.765,121.244,868861.642,355,116797178,4
EHF,Image194758:ect1_1:1,4976.272,16.354,3.999,4,58,63.354,146.297,63.484,146.349,81380.774,16,10939653,1
EHF,Image194758:ect1_2:2,4976.272,525.905,299.243,22,3702,63.354,146.297,62.318,142.844,2617047.897,460,351798027,2
EHF,Image194758:ect1_3:3,4976.272,124.994,51.603,10,586,63.354,146.297,62.852,148.458,622006.449,118,83613541,3
EHF,Image194758:ect1_4:4,4976.272,429.609,184.008,16,2239,63.354,146.297,62.792,145.204,2137852.38,401,287381920,4
EHF,Image194758:ect2_1:1,3136.279,16.551,3.92,5,58,65.469,152.121,65.396,151.56,51909.25,16,6977928,1
EHF,Image194758:ect2_2:2,3136.279,526.761,286.541,77,3667,65.469,152.121,63.915,149.545,1652070.763,462,222080473,2
EHF,Image194758:ect2_3:3,3136.279,129.953,50.815,22,586,65.469,152.121,64.163,151.53,407569.973,122,54787806,3
EHF,Image194758:ect2_4:4,3136.279,435.581,183.44,39,2239,65.469,152.121,64.485,151.303,1366103.22,401,183639137,4
EHF,Image194758:ect3_1:1,4327.259,16.498,4.035,4,58,63.91,147.58,63.998,147.187,71391.883,16,9596891,1
EHF,Image194758:ect3_2:2,4327.259,536.275,306.066,24,3702,63.91,147.58,62.713,144.103,2320599.085,468,311947741,2
EHF,Image194758:ect3_3:3,4327.259,127.87,52.313,11,586,63.91,147.58,63.016,148.251,553327.683,120,74381362,3
EHF,Image194758:ect3_4:4,4327.259,432.277,187.482,23,2239,63.91,147.58,63.293,147.056,1870573.394,403,251452803,4
EHF,Image370919:end1_1:1,792.662,15.186,4.199,5,42,106.238,104.677,106.126,105.43,12037.431,15,1618138,1
EHF,Image370919:end1_2:2,792.662,625.242,420.101,24,3442,106.238,104.677,106.578,106.625,495605.883,554,66622079,2
EHF,Image370919:end1_3:3,792.662,126.225,59.215,11,511,106.238,104.677,106.363,105.567,100053.947,119,13449804,3
EHF,Image370919:end1_4:4,792.662,415.431,161.786,20,1593,106.238,104.677,106.2,104.739,329296.377,397,44265837,4
EHF,Image370919:end2_1:1,989.589,14.958,3.998,4,52,112.135,155.858,111.915,154.931,14801.847,14,1989746,1
EHF,Image370919:end2_2:2,989.589,618.478,402.111,24,3126,112.135,155.858,111.433,153.328,612039.406,551,82273716,2
EHF,Image370919:end2_3:3,989.589,117.681,53.344,10,447,112.135,155.858,111.753,152.811,116455.944,112,15654651,3
EHF,Image370919:end2_4:4,989.589,372.329,158.553,16,2022,112.135,155.858,112.041,149.749,368452.215,356,49529381,4
EHF,Image370919:end3_1:1,851.869,15.919,4.038,5,43,108.833,125.73,108.684,125.709,13560.647,16,1822897,1
EHF,Image370919:end3_2:2,851.869,693.37,390.197,42,3442,108.833,125.73,108.546,124.751,590660.943,615,79399905,2
EHF,Image370919:end3_3:3,851.869,135.214,53.866,20,511,108.833,125.73,108.536,124.028,115184.608,127,15483751,3
EHF,Image370919:end3_4:4,851.869,403.102,141.862,67,1593,108.833,125.73,108.633,122.93,343390.084,384,46160391,4
EHF,Image787105:mes1_1:1,2130.31,25.106,7.125,7,73,87.458,102.269,87.39,100.847,53484.011,24,7189616,1
EHF,Image787105:mes1_2:2,2130.31,458.829,236.97,67,2654,87.458,102.269,86.016,100.33,977448.962,402,131394086,2
EHF,Image787105:mes1_3:3,2130.31,93.258,30.417,18,532,87.458,102.269,86.674,100.526,198668.972,89,26706180,3
EHF,Image787105:mes1_4:4,2130.31,432.715,146.156,76,1759,87.458,102.269,86.542,101.22,921816.037,416,123915601,4
EHF,Image787105:mes2_1:1,3353.85,22.515,7.125,5,73,86.495,110.999,86.564,107.936,75513.347,21,10150921,1
EHF,Image787105:mes2_2:2,3353.85,451.512,229.928,58,2861,86.495,110.999,85.461,109.234,1514302.266,399,203560871,2
EHF,Image787105:mes2_3:3,3353.85,90.316,30.915,18,558,86.495,110.999,86.16,109.754,302906.678,86,40718388,3
EHF,Image787105:mes2_4:4,3353.85,430.8,145.595,76,1759,86.495,110.999,85.501,108.902,1444838.053,413,194223108,4
EHF,Image787105:mes3_1:1,2168.688,24.977,7.136,7,73,87.445,103.211,87.398,101.645,54166.277,24,7281330,1
EHF,Image787105:mes3_2:2,2168.688,463.622,240.231,67,2861,87.445,103.211,85.979,101.739,1005451.867,404,135158391,2
EHF,Image787105:mes3_3:3,2168.688,94.915,32.156,21,558,87.445,103.211,86.565,101.642,205841.397,90,27670337,3
EHF,Image787105:mes3_4:4,2168.688,433.331,147.468,89,1759,87.445,103.211,86.65,102.292,939760.018,415,126327730,4
EHF,Image850925:ect1_1:1,3087.055,16.071,4.016,4,51,57.586,79.218,57.379,79.404,49613.577,16,6669331,1
EHF,Image850925:ect1_2:2,3087.055,572.726,314.304,27,5048,57.586,79.218,58.409,77.62,1768036.108,511,237669175,2
EHF,Image850925:ect1_3:3,3087.055,137.226,63.058,13,737,57.586,79.218,57.004,80.26,423623.227,127,56945773,3
EHF,Image850925:ect1_4:4,3087.055,453.12,212.303,23,2249,57.586,79.218,57.085,80.089,1398806.913,419,188035348,4
EHF,Image850925:ect2_1:1,3739.424,15.807,4.083,4,58,53.017,111.14,52.717,110.84,59110.331,16,7945937,1
EHF,Image850925:ect2_2:2,3739.424,532.323,297.178,30,5048,53.017,111.14,52.358,109.809,1990579.929,475,267584744,2
EHF,Image850925:ect2_3:3,3739.424,136.777,61.425,14,737,53.017,111.14,52.329,110.325,511466.45,128,68754144,3
EHF,Image850925:ect2_4:4,3739.424,462.465,219.974,27,2249,53.017,111.14,52.526,111.047,1729353.997,430,232469312,4
EHF,Image850925:ect3_1:1,3538.934,15.159,3.834,3,61,87.611,170.747,87.325,170.372,53645.148,15,7211277,1
EHF,Image850925:ect3_2:2,3538.934,442.737,238.915,19,3320,87.611,170.747,86.127,170.021,1566818.477,399,210620390,2
EHF,Image850925:ect3_3:3,3538.934,114.618,47.375,12,587,87.611,170.747,86.578,169.751,405626.414,109,54526542,3
EHF,Image850925:ect3_4:4,3538.934,392.809,182.97,19,1660,87.611,170.747,86.49,169.209,1390126.329,368,186868456,4
EHF,Image850925:end1_1:1,1197.377,14.601,3.672,5,58,125.588,130.75,125.44,130.511,17482.714,14,2350123,1
EHF,Image850925:end1_2:2,1197.377,593.449,374.36,32,3659,125.588,130.75,125,128.523,710582.197,511,95520382,2
EHF,Image850925:end1_3:3,1197.377,96.557,45.22,12,432,125.588,130.75,125.032,127.945,115614.884,90,15541591,3
EHF,Image850925:end1_4:4,1197.377,384.464,149.613,36,1688,125.588,130.75,125.552,130.218,460348.195,371,61882546,4
EHF,Image850925:end2_1:1,1162.845,14.668,3.673,4,51,121.147,79.579,121.011,80.005,17056.181,14,2292786,1
EHF,Image850925:end2_2:2,1162.845,602.84,352.89,25,3659,121.147,79.579,120.884,81.699,701009.089,527,94233512,2
EHF,Image850925:end2_3:3,1162.845,109.744,48.124,11,462,121.147,79.579,121.211,79.92,127614.904,102,17154700,3
EHF,Image850925:end2_4:4,1162.845,363.102,149.307,23,1688,121.147,79.579,121.222,81.683,422231.177,346,56758646,4
EHF,Image850925:end3_1:1,1805.044,14.245,3.775,4,58,136.334,144.5,135.198,143.096,25713.317,14,3456526,1
EHF,Image850925:end3_2:2,1805.044,565.761,369.095,16,3659,136.334,144.5,132.687,138.993,1021224.378,494,137278619,2
EHF,Image850925:end3_3:3,1805.044,95.038,45.838,8,432,136.334,144.5,133.61,139.407,171547.671,89,23060385,3
EHF,Image850925:end3_4:4,1805.044,357.353,150.378,14,1688,136.334,144.5,133.527,139.816,645037.998,346,86709569,4
EHF,Image850925:mes1_1:1,2188.32,20.833,7.043,5,74,96.398,64.754,97.204,61.994,45588.791,20,6128297,1
EHF,Image850925:mes1_2:2,2188.32,427.231,243.197,36,2553,96.398,64.754,95.913,66.09,934917.939,370,125676831,2
EHF,Image850925:mes1_3:3,2188.32,80.923,29.854,14,355,96.398,64.754,96.82,64.718,177085.682,77,23804835,3
EHF,Image850925:mes1_4:4,2188.32,407.726,165.625,42,1796,96.398,64.754,96.284,66.082,892234.266,386,119939056,4
EHF,Image850925:mes2_1:1,1380.869,22.972,7.434,5,74,100.286,55.914,100.667,54.728,31720.74,22,4264077,1
EHF,Image850925:mes2_2:2,1380.869,423.022,230.263,36,2175,100.286,55.914,99.972,56.814,584137.346,369,78522967,2
EHF,Image850925:mes2_3:3,1380.869,82.402,29.34,14,344,100.286,55.914,100.722,55.924,113786.846,79,15295856,3
EHF,Image850925:mes2_4:4,1380.869,399.509,160.724,54,1796,100.286,55.914,100.375,56.715,551670.17,380,74158550,4
EHF,Image850925:mes3_1:1,1478.12,22.739,7.341,5,74,99.177,54.656,99.703,53.689,33611.356,22,4518224,1
EHF,Image850925:mes3_2:2,1478.12,417.589,227.664,36,2175,99.177,54.656,99.009,55.87,617247.122,365,82973766,2
