Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)	Region
0	565.092	599.107	119.651	10.000	28	597.591	601.088	118.477	10.000	119	35.0052111691959	6.8392067122891	123.516483516484	aFHF
1	619.266	552.643	115.680	10.000	37	622.742	585.918	109.539	10.000	119	34.0149978979861	8.13922923864379	137.743902439024	aFHF
2	567.209	636.468	124.435	10.000	20	569.615	634.419	98.048	10.000	119	26.5755716025074	6.99695607467889	96.7575757575758	aFHF
3	569.331	596.580	118.586	10.000	28	583.095	593.091	121.736	10.000	119	25.2792108658479	7.37147892552632	125.296703296703	aFHF
4	475.748	260.246	423.544	10.000	0	429.553	226.057	468.597	10.000	119	73.2310143654995	8.11877397954158	34.0840336134454	aFHF
5	566.232	652.711	91.685	10.000	44	573.066	655.365	104.133	10.000	119	18.2844465598497	6.18891282313778	92.92	aFHF
6	600.810	564.879	158.808	10.000	23	589.833	575.550	159.552	10.000	119	15.4669437834369	4.97073633745408	137.041666666667	aFHF
7	114.358	585.039	197.260	10.000	46	132.550	581.312	212.207	10.000	119	23.8598654019674	5.9202242173239	105.684931506849	aFHF
8	615.745	556.602	150.672	10.000	23	629.230	547.152	147.660	10.000	119	24.6736239940548	5.61972893867695	126.020833333333	aFHF
9	645.672	551.147	163.083	10.000	25	657.230	561.257	173.735	10.000	119	19.350817398756	4.95593946764044	107	aFHF
10	575.528	583.007	102.655	10.000	44	597.614	606.303	114.657	10.000	119	34.6866279421913	6.68228252510527	131.08	aFHF
11	592.108	588.363	143.651	10.000	20	599.051	578.609	152.352	10.000	119	18.995314290635	4.60325522477093	133.373737373737	aFHF
12	625.356	540.841	188.977	10.000	7	598.773	536.120	184.942	10.000	119	32.2409505132835	6.87229882391292	94.3303571428571	aFHF
13	611.602	579.692	170.862	10.000	7	616.062	580.545	186.426	10.000	119	17.1657979132925	5.16435543207066	119.276785714286	aFHF
14	610.486	571.626	171.248	10.000	7	619.434	560.912	183.461	10.000	119	18.5476108704059	4.83499442221636	113.357142857143	aFHF
15	191.512	608.368	165.686	10.000	46	155.478	614.754	144.178	10.000	119	42.4479000187288	8.07066745368738	88.2054794520548	aFHF
16	587.733	612.235	130.359	10.000	25	597.469	620.388	133.122	10.000	119	24.5941656902608	6.39472230215095	127.787234042553	aFHF
17	570.538	595.016	143.741	10.000	25	590.258	591.980	147.820	10.000	119	29.7574411534326	6.19502178459959	133.776595744681	aFHF
18	523.335	230.424	412.391	10.000	0	548.497	216.574	450.112	10.000	119	49.5593546971709	5.56007849566971	44.2268907563025	aFHF
19	540.469	643.723	84.023	10.000	32	555.010	634.515	101.226	10.000	119	24.3345670600485	7.57636036506755	86.7126436781609	aFHF
20	546.000	638.600	91.837	10.000	32	569.407	638.869	96.232	10.000	119	23.8175572844908	6.51479222534411	90.4942528735632	aFHF
21	519.521	242.736	416.050	10.000	0	550.625	212.666	432.046	10.000	119	48.6818763607156	5.73049994698261	44.0756302521008	aFHF
22	605.163	563.529	145.420	10.000	32	605.488	556.614	134.163	10.000	119	19.2814275664433	6.14403790305305	138.287356321839	aFHF
23	179.925	618.889	164.067	10.000	35	152.007	602.219	166.486	10.000	119	32.6060605562831	5.29906480046433	86.4761904761905	aFHF
24	120.078	505.305	236.256	10.000	15	112.685	512.152	212.716	10.000	119	26.9075199897724	4.72902523006104	97.6923076923077	aFHF
25	223.655	271.435	381.393	10.000	0	204.970	234.801	396.086	10.000	119	53.4941285282787	7.66113510423926	40.4033613445378	aFHF
26	599.071	581.982	136.307	10.000	32	598.850	599.373	140.321	10.000	119	17.8495915359429	4.53390853530535	138.16091954023	aFHF
27	598.801	567.626	143.280	10.000	32	594.709	563.897	142.537	10.000	119	18.6567147429551	6.13010881624905	141.022988505747	aFHF
28	561.981	631.067	59.371	10.000	88	566.375	627.562	63.157	10.000	119	6.77687664045908	4.27201338967468	90.8387096774194	aFHF
29	561.331	650.669	84.744	10.000	46	567.025	662.676	73.117	10.000	119	17.6572028928707	5.31135796680785	87.027397260274	aFHF
30	644.308	424.406	291.406	10.000	0	652.364	392.128	253.627	10.000	119	53.3170353733214	7.63030069746438	59.7310924369748	aFHF
31	137.937	431.358	233.585	10.000	0	157.083	426.377	219.230	10.000	119	27.1191413949631	6.19985630732	71.5798319327731	aFHF
32	145.357	558.654	156.160	10.000	38	123.838	579.204	120.314	10.000	119	46.58653858144	9.34869078343322	98.0123456790123	aFHF
33	634.563	427.073	292.076	10.000	0	651.402	397.311	252.715	10.000	119	52.1403575553525	8.77028195029901	62.109243697479	aFHF
34	120.213	518.740	180.222	10.000	34	118.442	531.285	165.627	10.000	119	23.9387174886208	7.55133425830687	111.823529411765	aFHF
35	114.486	545.907	195.392	10.000	34	105.879	554.519	197.497	10.000	119	15.3123230765289	3.95424793528518	113.647058823529	aFHF
36	143.966	532.817	190.682	10.000	34	120.591	535.078	171.370	10.000	119	30.4048695113135	8.15641267961282	120.458823529412	aFHF
37	125.990	441.380	268.283	10.000	0	124.380	447.516	252.214	10.000	119	22.0991899625303	6.33182801858172	72.8739495798319	aFHF
38	116.523	547.725	187.203	10.000	90	122.734	539.642	195.018	10.000	119	12.8446734096278	6.26045271454497	125.379310344828	aFHF
39	148.519	555.781	200.817	10.000	25	151.194	558.731	206.145	10.000	119	11.0170211037285	4.39966827503413	107.553191489362	aFHF
40	151.343	535.083	191.011	10.000	25	151.160	550.990	192.367	10.000	119	23.5880530353821	6.04289063877662	110.36170212766	aFHF
41	132.076	546.226	199.776	10.000	25	113.911	549.383	207.471	10.000	119	19.9786610912744	4.15280009796201	111.478723404255	aFHF
42	604.968	609.820	65.390	10.000	66	586.774	607.836	68.001	10.000	119	18.4871634654968	7.13415451452861	110.11320754717	aFHF
43	296.724	252.201	413.966	10.000	0	257.831	211.464	435.841	10.000	119	60.4208924379639	6.75112915697941	28.7058823529412	aFHF
44	96.764	448.013	223.066	10.000	19	128.474	438.187	206.455	10.000	119	37.1214183053396	5.83599511139366	79.5	aFHF
45	148.378	594.549	139.194	10.000	102	148.705	601.041	130.626	10.000	119	10.7547020879242	6.93149341826738	98.0588235294118	aFHF
46	100.690	480.276	269.342	10.000	7	102.861	491.653	256.643	10.000	119	22.9379486659117	5.62048496101247	78.2232142857143	aFHF
47	565.910	647.240	96.570	10.000	39	577.071	646.470	82.100	10.000	119	18.2939905160137	4.98040419266381	94.5	aFHF
48	202.547	294.703	386.651	10.000	0	167.425	287.941	382.663	10.000	119	35.9886603251635	6.26306235855124	41.9327731092437	aFHF
49	578.201	605.186	98.308	10.000	39	580.605	622.294	94.159	10.000	119	19.698038963308	5.32888400166707	113.225	aFHF
50	640.655	560.584	142.636	10.000	39	642.761	537.554	148.293	10.000	119	23.8079353367737	4.59016913189122	125.6875	aFHF
51	634.976	562.975	129.501	10.000	39	638.614	589.253	130.008	10.000	119	26.5334765343707	8.14290631316578	140.3125	aFHF
52	174.028	586.454	130.859	10.000	96	150.983	592.436	139.295	10.000	119	25.2591061797523	12.5700256934869	99.0434782608696	aFHF
53	159.806	583.565	137.330	10.000	98	155.682	589.730	130.573	10.000	119	10.0335262993625	6.27979008213749	99.8571428571429	aFHF
54	181.808	614.265	152.302	10.000	41	139.734	613.182	145.304	10.000	119	43.6567260568174	8.13071665530102	85.974358974359	aFHF
55	608.190	560.324	162.625	10.000	17	596.709	575.190	181.933	10.000	119	26.9371524293123	6.41542928050204	129.833333333333	aFHF
56	607.102	565.647	158.954	10.000	17	590.682	565.933	169.924	10.000	119	26.2789560104658	6.48129938875725	130.294117647059	aFHF
57	616.988	576.070	169.207	10.000	17	594.809	590.813	170.544	10.000	119	31.1894223896501	6.16317030068519	131.480392156863	aFHF
58	636.716	542.648	177.565	10.000	17	616.962	535.150	173.765	10.000	119	22.0046843649256	6.57862741457408	102.960784313725	aFHF
59	129.472	484.991	230.747	10.000	7	116.376	483.758	208.981	10.000	119	31.4830284121461	6.29535857075886	89.0892857142857	aFHF
60	127.684	482.019	231.683	10.000	7	111.889	495.195	207.227	10.000	119	33.9083683034144	6.36509314968076	89.4732142857143	aFHF
61	526.089	643.287	114.107	10.000	17	556.602	642.294	108.220	10.000	119	35.4275741619434	6.21047380719322	86.6372549019608	aFHF
62	554.090	618.560	144.181	10.000	17	562.007	616.349	100.967	10.000	119	43.9888304686542	10.2215497903819	99.2352941176471	aFHF
63	573.667	617.868	116.614	10.000	25	567.550	618.089	69.411	10.000	119	47.5982115105179	7.84983231104559	99.6382978723404	aFHF
64	127.556	525.849	206.118	10.000	27	113.560	554.115	203.787	10.000	119	32.0988511476656	4.80255747284176	113.70652173913	aFHF
65	129.112	520.704	209.748	10.000	27	124.290	527.475	173.998	10.000	119	36.7036868039166	6.4162641263887	114.630434782609	aFHF
66	129.687	518.965	208.292	10.000	27	128.312	534.371	194.166	10.000	119	20.9470603426829	5.42917705964847	115.391304347826	aFHF
