Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)	Region
0	565.091	600.032	120.902	10.000	28	589.880	585.475	187.996	10.000	120	72.993188764432	9.77163976110023	121.652173913043	aFHF
1	619.604	553.055	116.187	10.000	37	612.921	563.564	158.591	10.000	120	44.1950312365542	8.85762181177413	127.457831325301	aFHF
2	567.545	636.607	125.257	10.000	20	563.339	621.004	172.007	10.000	120	49.4641945754704	8.55911721691838	94.96	aFHF
3	569.330	597.505	119.837	10.000	28	575.303	577.520	191.221	10.000	120	74.369028567005	9.99911814003437	123.586956521739	aFHF
4	475.748	260.246	423.544	10.000	0	421.664	322.609	332.964	10.000	120	122.551863408926	11.8888955036	47.55	aFHF
5	566.306	652.616	92.521	10.000	44	553.381	647.551	133.163	10.000	120	46.8602198991853	9.09994698493134	84.6447368421053	aFHF
6	601.005	564.791	158.819	10.000	23	581.140	551.474	219.328	10.000	120	65.1269099144125	9.69329754475966	130.257731958763	aFHF
7	115.032	584.821	198.049	10.000	46	153.963	565.644	257.309	10.000	120	73.451532931587	10.6935195711134	112.851351351351	aFHF
8	615.940	556.514	150.683	10.000	23	636.732	533.609	197.857	10.000	120	56.4121668170971	9.53351925068299	120.525773195876	aFHF
9	645.961	551.034	163.110	10.000	25	645.775	524.741	237.588	10.000	120	78.9830926781169	10.1362318735603	106.463157894737	aFHF
10	575.350	583.331	103.578	10.000	44	591.245	579.006	167.474	10.000	120	65.9852670374228	10.0234390391966	124.25	aFHF
11	592.173	588.406	143.749	10.000	20	590.615	554.502	212.386	10.000	120	76.569878862383	11.4478568731191	130.48	aFHF
12	625.407	541.880	188.836	10.000	7	590.487	523.067	239.427	10.000	120	66.9072289517358	9.36542543844247	109.336283185841	aFHF
13	611.190	579.739	171.071	10.000	7	591.044	552.796	261.087	10.000	120	96.09717384502	11.3130426768404	108.345132743363	aFHF
14	610.074	571.673	171.457	10.000	7	594.635	545.593	252.888	10.000	120	86.8880709994186	9.79703222778087	108.87610619469	aFHF
15	191.255	607.905	167.023	10.000	46	147.820	600.794	185.409	10.000	120	47.8935547751469	10.5627607831939	88.1756756756757	aFHF
16	588.022	612.122	130.386	10.000	25	590.266	604.737	202.676	10.000	120	72.7008793688219	10.2538292265646	123.389473684211	aFHF
17	570.827	594.903	143.768	10.000	25	581.127	568.167	207.717	10.000	120	70.0740914818023	10.1712587539996	131.105263157895	aFHF
18	523.335	230.424	412.391	10.000	0	466.521	333.258	371.335	10.000	120	124.45182717823	11.8658159332541	50.0333333333333	aFHF
19	540.469	643.723	84.023	10.000	32	534.353	632.608	140.145	10.000	120	57.5380531909101	10.3731723615827	78.5113636363636	aFHF
20	546.000	638.600	91.837	10.000	32	548.823	637.014	135.157	10.000	120	44.2292785946142	10.0984494452014	82.9090909090909	aFHF
21	519.521	242.736	416.050	10.000	0	467.622	327.924	357.808	10.000	120	115.510311699865	11.0824626004711	51.55	aFHF
22	605.522	563.776	145.751	10.000	32	593.822	532.775	192.935	10.000	120	58.8422389189942	9.38547199562591	134.784090909091	aFHF
23	179.927	619.355	164.594	10.000	35	169.181	594.718	229.654	10.000	120	70.3936210533313	9.98293500845709	86.8588235294118	aFHF
24	119.723	505.971	237.479	10.000	15	167.347	498.773	303.272	10.000	120	81.538797078446	9.71413187557545	99.3238095238095	aFHF
25	223.655	271.435	381.393	10.000	0	258.215	335.523	348.062	10.000	120	80.0788418060601	9.36855272530563	49.1833333333333	aFHF
26	599.430	582.229	136.638	10.000	32	587.234	575.566	199.177	10.000	120	64.0645339169809	9.63653639321141	134.193181818182	aFHF
27	599.160	567.873	143.611	10.000	32	583.122	540.080	201.369	10.000	120	67.7059715387055	10.5355177534859	136.068181818182	aFHF
28	561.448	630.842	59.745	10.000	88	569.558	643.878	71.542	10.000	120	19.3617820719065	6.65005181634639	63.96875	aFHF
29	561.538	650.313	85.522	10.000	46	546.987	655.290	100.401	10.000	120	27.0152626491026	6.82722618687819	77.445945945946	aFHF
30	644.308	424.406	291.406	10.000	0	596.970	409.344	276.422	10.000	120	55.4913591291473	7.12512758660031	73.3416666666667	aFHF
31	137.937	431.358	233.585	10.000	0	160.659	467.266	275.667	10.000	120	59.8044184989704	9.33245767902347	89.1	aFHF
32	145.650	558.699	156.772	10.000	38	143.879	571.021	184.250	10.000	120	30.1663489504448	6.09682464649088	95.4024390243902	aFHF
33	634.563	427.073	292.076	10.000	0	567.005	414.037	264.839	10.000	120	76.2278473262888	9.19437187589276	76.875	aFHF
34	120.432	519.204	181.094	10.000	34	158.109	524.128	236.654	10.000	120	67.3105913285569	10.1369605515958	123.523255813953	aFHF
35	114.705	546.371	196.264	10.000	34	160.843	531.038	270.722	10.000	120	88.9258662988446	11.3313024069751	121.43023255814	aFHF
36	144.185	533.281	191.554	10.000	34	174.388	511.367	244.494	10.000	120	64.7695005770463	9.99977518688054	125.918604651163	aFHF
37	125.990	441.380	268.283	10.000	0	192.384	444.176	286.853	10.000	120	68.99873732178	8.86353451150347	85	aFHF
38	115.922	548.193	187.319	10.000	90	127.902	544.685	210.322	10.000	120	26.171825939357	9.20752266447044	116.3	aFHF
39	147.518	556.778	201.941	10.000	25	171.036	547.300	280.347	10.000	120	82.4040632736032	10.036254433369	113.936842105263	aFHF
40	150.342	536.080	192.135	10.000	25	182.094	537.511	265.310	10.000	120	79.7798087864342	9.84956519321148	116.557894736842	aFHF
41	131.075	547.223	200.900	10.000	25	165.505	532.374	288.195	10.000	120	95.0070246139726	11.135734208576	114.463157894737	aFHF
42	604.065	609.184	65.870	10.000	66	566.115	614.439	82.138	10.000	120	42.4677003380217	13.2598525466763	78.0740740740741	aFHF
43	296.724	252.201	413.966	10.000	0	323.398	316.021	350.908	10.000	120	93.6136999856324	10.4310709055294	40.825	aFHF
44	95.821	449.248	222.662	10.000	19	117.670	472.141	284.031	10.000	120	69.0479718094601	8.23288619441229	89.4653465346535	aFHF
45	148.378	594.549	139.194	10.000	102	145.126	598.964	130.488	10.000	120	10.2889341041723	6.68675952816708	59.9444444444444	aFHF
