Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)
0	331.034	1344.219	-619.871	14.427	0	636.904	1346.389	-832.012	18.987	69	372.243159347489	103.912242546489	29.6573426573427
1	419.917	1174.667	92.160	15.021	0	393.957	1183.825	100.794	12.927	20	54.1717465935888	31.9097301411036	6.75
2	633.414	1038.487	-632.107	19.934	0	550.721	878.169	-882.246	14.858	118	321.922499761977	813.790212072465	62.0749973536572
3	316.508	1198.671	16.890	16.404	0	589.199	1030.372	117.828	21.213	118	335.966389280237	94.1301029884616	62.4178356713427
4	640.424	947.583	36.216	17.871	0	662.081	821.163	163.278	18.749	118	190.40699737142	59.2297643652647	51.7139689578714
5	698.640	885.966	38.490	19.832	0	654.647	770.838	139.704	17.574	118	247.598208347718	47.3223302573927	25.8392969240427
6	711.048	984.951	30.060	19.321	0	732.284	873.485	29.748	14.685	42	113.471292387106	47.4595165558566	36.3333333333333
7	606.923	1151.632	64.608	19.384	0	640.759	1008.996	65.130	19.556	48	146.595279173649	49.1219402490014	42.1041666666667
8	628.415	1111.681	69.858	20.289	0	882.260	1053.519	7.110	16.803	94	276.320528446585	51.0707374104072	24.8617021276596
9	665.225	1215.586	99.480	14.751	0	807.678	1256.604	116.676	14.077	27	149.234834904589	94.2241605991516	11.4714285714286
10	396.870	1071.297	-81.342	14.801	0	320.363	1047.539	17.694	20.592	67	133.564995373039	54.8474137193246	41.784
11	395.721	1032.024	-108.000	18.640	0	416.380	920.936	-88.494	11.618	38	114.663952753252	77.9048615954306	25.3947368421053
12	664.287	1003.809	11.640	17.547	0	745.151	874.808	138.180	17.478	82	197.971250683022	37.4307700588123	46.2317073170732
13	631.548	999.624	24.696	15.229	0	644.745	945.298	-69.882	18.225	26	124.943054889017	69.8948179807404	32.7307692307692
14	546.288	865.270	-626.384	19.718	0	512.464	685.323	-931.083	19.098	118	374.112944445925	223.240030680028	35.8743824336688
15	574.947	885.191	-650.537	14.542	0	460.559	812.408	-906.476	15.283	118	299.431266647289	185.927871888389	60.3700199866756
16	497.743	775.671	9.834	19.084	0	298.639	626.115	112.350	19.392	118	304.562202574449	162.740729403175	26.91645909178
17	572.404	925.031	-105.966	18.014	0	503.126	934.227	-38.514	18.035	46	110.349052238794	97.8097701624154	36.5169491525424
18	418.511	792.230	-553.964	15.947	0	348.296	645.805	-917.473	18.452	118	398.132163899125	378.057276330103	56.6320139190953
19	418.511	792.230	-553.964	15.947	0	348.296	645.805	-917.473	18.452	118	398.132163899125	324.728299448932	56.6320139190953
20	440.066	744.633	-543.303	20.690	0	188.495	722.865	-615.666	17.660	56	271.03414551307	344.076919360343	9.80193236714976
21	440.066	744.633	-543.303	20.690	0	188.495	722.865	-615.666	17.660	56	271.03414551307	253.10271357689	29.3171641791045
