Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)
0	-630.681	1513.749	200.462	15.547	0	-795.401	1501.055	165.101	12.246	42	184.358225748134	71.2066331633581	44.5476190476191
1	-844.745	868.704	143.147	16.474	0	-837.781	861.086	4.302	17.678	118	151.307969079622	60.2914115023472	80.0224719101124
2	-588.914	1127.936	983.545	16.332	0	-596.803	1106.756	1066.340	17.678	118	121.518574024714	38.9483416969666	88.7542372881356
3	-934.754	1077.184	986.885	15.641	0	-1006.231	1130.895	993.120	13.099	55	96.1940969654584	22.2461494406404	55.7700534759358
4	-597.025	1275.351	1048.270	16.366	0	-604.770	1302.216	1121.710	11.849	41	81.5410377969277	57.8475915402619	82.6341463414634
5	-496.886	1254.224	960.795	16.886	0	-530.399	1300.770	1041.560	14.432	40	104.252762553325	42.2135476621337	78.275
6	-623.589	1194.609	1005.530	16.385	0	-667.296	1193.239	1015.875	17.678	118	98.0589372010527	40.0186188400428	92.5508474576271
7	-782.256	870.246	180.769	16.211	0	-781.727	923.317	154.852	17.390	23	62.387164232717	48.4267957274112	77.7826086956522
8	-824.141	1106.816	1045.975	17.251	0	-961.681	1125.274	994.435	17.639	44	148.034864015204	38.8621908871718	79.7272727272727
9	-360.409	1130.001	848.730	17.678	0	-380.053	1222.321	964.295	13.663	118	250.72763626892	127.226300537055	41.3768955059278
10	-693.631	1227.763	1114.010	14.773	0	-856.955	1234.866	1100.210	17.678	118	168.598215248561	74.3143611072083	72.6210084584617
11	-621.400	1147.821	1063.685	15.965	0	-650.634	1146.688	1053.245	14.599	56	117.571122823591	69.7919241332636	93.9820761762509
12	-558.587	1061.137	995.195	14.014	0	-594.085	1045.236	1028.475	7.224	31	66.4528973408986	40.7991561652026	79.3548387096774
13	-785.207	1048.639	967.655	15.372	0	-812.913	1064.879	1022.290	16.151	85	72.6065837854942	85.6880536742463	94.4418604651163
14	-725.217	1065.679	1044.990	17.157	0	-690.142	1062.065	1055.920	12.818	42	43.6681117063699	46.0197801558333	105.380952380952
15	-789.399	1121.122	1089.790	15.851	0	-813.771	1077.695	1072.380	14.513	42	68.4151891687804	104.420306108634	80.3706896551724
16	-966.139	812.051	241.330	17.132	0	-1002.160	813.477	250.509	15.203	21	48.1404896734547	40.9267454075086	65.7619047619048
17	-999.766	789.729	221.994	15.305	0	-1010.514	731.895	139.873	13.524	60	104.791772033877	27.9238708104279	58.0666666666667
18	-406.952	658.600	213.529	15.890	0	-306.852	655.697	114.609	13.683	97	177.711025583671	51.025674639101	51.125457396759
19	-417.210	754.322	254.815	17.631	0	-333.138	750.824	197.400	16.514	56	118.513966409027	37.2353789357684	47.3035714285714
20	-389.117	761.931	274.282	13.663	0	-306.185	771.014	137.692	12.777	79	160.053258676604	48.1985392667351	53.3631284916201
21	-341.841	1068.215	474.530	14.109	0	-261.017	1055.670	424.035	16.016	112	127.000365306561	943.315287182238	28.6441025641026
22	-412.976	1114.264	364.177	15.362	0	-338.461	1091.608	417.810	13.019	37	94.5636201189442	50.8167138694807	41.5945945945946
23	-732.465	979.742	1073.415	17.678	0	-784.571	1022.373	1178.570	16.896	118	124.859967251317	1091.68944862712	82.5907617504052
24	-356.254	875.985	383.881	16.607	0	-262.074	813.524	321.825	16.661	55	136.860581812295	64.7666104500349	31.1769911504425
25	-643.945	779.059	1108.555	11.864	0	-666.590	749.474	1239.195	12.555	85	145.142843795345	32.7352791804962	36.3647058823529
26	-474.315	1559.596	1005.065	12.314	0	-476.640	1632.245	1049.915	12.943	38	91.2075743839292	62.4408333611825	37.4736842105263
27	-558.866	790.204	203.268	16.991	0	-482.820	780.491	121.399	13.194	77	124.915403237551	33.6611147273628	56.8571428571429
28	-507.845	1269.299	283.716	17.678	0	-570.884	1242.191	257.625	13.914	32	80.9728477021773	40.0991647089774	91.4375
29	-432.140	1165.659	386.848	15.829	0	-346.640	1118.485	453.030	9.516	92	121.605605047629	53.4080575094356	53.0545073375262
30	-819.862	714.056	1137.030	17.678	0	-809.724	708.670	1287.945	10.915	118	155.441831650943	220.527212617859	44.6599597585513
31	-853.243	1197.999	268.020	16.726	0	-894.442	1225.928	267.251	15.325	43	58.6304465700202	25.323214892965	96.4651162790698
32	-951.816	1223.214	238.129	15.985	0	-1007.707	1218.974	266.547	13.500	39	67.1276505994362	29.7107551124099	48.1794871794872
33	-864.339	1170.572	240.934	16.723	0	-922.980	1135.653	226.358	17.021	53	110.017391216116	87.2842363642464	96.7027027027027
34	-805.899	1170.227	260.487	17.192	0	-816.346	1155.507	279.009	16.425	31	45.7651748494421	29.4729189048406	107.096774193548
35	-1055.934	916.730	467.875	15.440	0	-1082.385	870.884	410.185	12.576	26	116.809301436144	73.5378994500359	23.4928425357873
36	-919.940	786.202	165.093	16.840	0	-973.894	726.472	100.154	14.997	79	109.316740479215	60.3058150957071	69.9239342435219
37	-726.631	1778.262	251.315	13.861	0	-743.942	1846.000	259.284	11.553	25	91.9859095459735	240.443763638352	34.1571428571429
38	-911.265	757.544	137.375	14.814	0	-873.271	742.836	57.255	12.278	63	89.8837232206143	49.1849206193613	67.4320987654321
39	-414.170	1554.276	356.037	13.491	0	-473.920	1584.830	246.493	14.217	27	128.465938489547	201.157413759271	47.6078431372549
40	-660.301	1378.035	155.733	15.933	0	-702.715	1508.713	170.764	13.432	118	166.667344443955	38.4339310785059	73.2310756972112
41	-587.355	1343.025	244.436	16.427	0	-660.079	1410.441	244.740	15.517	118	162.274572542959	716.712583495952	84.6750106067034
42	-497.588	1329.384	308.202	16.527	0	-569.170	1412.184	217.955	11.177	32	167.517154049966	82.7193023215154	64.21875
43	-502.913	1343.686	251.009	15.808	0	-568.835	1399.646	237.871	15.308	21	90.9619001010863	58.4969443329615	78.5714285714286
44	-359.736	1313.849	400.250	15.667	0	-502.627	1386.134	202.644	14.905	44	260.978608385822	108.730287080891	69.5999099909991
45	-628.089	864.235	201.795	16.222	0	-448.405	843.655	103.145	16.926	118	208.313456188025	77.5827013158152	50.1638554216867
46	-883.398	826.154	118.534	14.328	0	-907.820	811.622	83.775	15.648	24	44.8976746502534	27.3507843005884	65.7083333333333
47	-605.710	817.281	187.710	15.005	0	-458.311	761.232	151.841	14.091	118	186.227591835904	35.564479297127	47.7542372881356
48	-578.956	834.926	212.131	15.762	0	-371.869	997.410	46.988	10.865	111	310.738292255718	146.135914087632	48.397279806954
49	-456.310	669.106	228.914	16.094	0	-357.969	631.058	99.025	14.630	77	172.986662587033	69.7510499741916	38.6664025356577
50	-403.138	575.309	208.375	12.291	0	-290.429	544.144	115.236	14.643	63	149.497321805442	32.1281538875235	25.031746031746
